License Issue Date,License Number,Animal's Name,Species,Primary Breed,Secondary Breed,ZIP Code
June 04 2013,900332,Growler,Dog,Beagle,Terrier; Boston,98126
January 14 2013,957380,Lakein,Dog,Retriever; Labrador,,98177
February 26 2013,82415,Tessa Love,Dog,Border Collie,Australian Shepherd,
May 29 2013,21906,Sebastian,Cat,Domestic Longhair,,98144
May 29 2013,111409,Romeo,Dog,Retriever; Golden,,98144
June 11 2013,281593,Coos,Dog,Australian Shepherd,Retriever; Labrador,98107
June 28 2013,214298,Opal,Dog,Boxer,,98118
June 08 2013,26606,Harley,Dog,Spaniel; American Cocker,,98136
February 11 2013,82528,Walter,Dog,Dachshund; Miniature Smooth Haired,,98117
March 05 2013,82476,Lilly,Dog,Chihuahua; Short Coat,Miniature Pinscher,98115
March 02 2013,133999,Johnny Depp,Cat,Domestic Longhair,,98109
February 23 2013,83111,,Dog,Pomeranian,,98103
March 07 2013,132661,Meijo,Dog,Terrier; American Pit Bull,,98107
March 22 2013,140148,Jasmine,Cat,Domestic Shorthair,,98118
April 26 2013,214153,Shelby Food,Dog,Terrier; American Pit Bull,Mix,98125
April 27 2013,441225,Molly,Dog,Australian Cattle Dog,,98125
June 06 2013,132533,Karma,Dog,Terrier; American Pit Bull,,98118
June 26 2013,959561,Puppy,Dog,Chihuahua; Short Coat,,98166
May 17 2013,136488,Dekeoi,Dog,Retriever; Chesapeake Bay,,98126
January 16 2013,438811,Quill,Dog,Shih Tzu,,98118
May 07 2013,139280,Happy,Dog,Welsh Corgi; Pembroke,,98199
December 29 2013,944398,Suzie,Dog,Poodle; Miniature,,98115
September 01 2013,120838,,Cat,Domestic Shorthair,,98199
August 14 2013,126793,Ella,Dog,Australian Shepherd,Mix,98144
July 23 2013,431405,Consuela,Dog,Poodle; Toy,Chihuahua; Short Coat,98117
August 29 2013,576520,Buddy,Dog,Bichon Frise,,98116
September 25 2013,819986,Cappi,Cat,Domestic Shorthair,,98122
August 20 2013,950885,Nigel,Dog,Terrier; Soft Coated Wheaten,,98105
October 15 2013,434241,Amelia B. Aircat,Cat,Domestic Shorthair,,98117
August 11 2013,951542,Mickie,Dog,Terrier; Jack Russell,,98105
August 22 2013,951635,Marley,Dog,Retriever; Labrador,,98178
December 02 2013,138179,Sadie,Dog,Retriever; Labrador,Mix,98125
September 23 2013,17864,Buddy Love,Dog,German Shepherd,Mix,98116
August 08 2013,78717,Po Chi,Dog,Shepherd,Mix,98107
September 18 2013,127781,Skwee,Cat,Domestic Longhair,,98119
August 20 2013,79320,Foster,Dog,Spaniel; English Springer,,98146
September 05 2013,124496,Kitty,Cat,Domestic Medium Hair,,98117
November 20 2013,205634,Bernie,Dog,Terrier; Airedale,,98136
September 22 2013,202896,Mac Sa Million,Cat,Domestic Longhair,,98199
August 22 2013,345744,Snow White,Cat,Domestic Shorthair,,98177
December 02 2013,351622,Indie,Dog,Retriever; Golden,,98133
August 08 2013,949591,Hero,Cat,Abyssinian,Mix,98117
September 04 2013,358725,Moose,Dog,Mastiff,,98115
September 24 2013,132646,Missy,Dog,Maltese,,98104
September 18 2013,139862,Danny,Dog,Retriever; Labrador,,98112
September 08 2013,954794,Benny,Dog,Chihuahua; Short Coat,Poodle; Miniature,98101
September 15 2013,352910,Cindy,Dog,Australian Cattle Dog,Mix,98107
September 17 2013,955283,Elenore,Dog,Spaniel; American Cocker,Poodle; Miniature,98119
October 23 2013,17140,Poppy,Cat,Domestic Longhair,,98103
December 23 2013,943983,Jasmin,Cat,Domestic Shorthair,,98101
August 13 2013,26700,Baxter,Dog,Retriever; Labrador,Chow Chow,98115
August 06 2013,27333,Tango,Dog,German Shepherd,Australian Cattle Dog,98106
December 17 2013,21806,Max,Cat,Himalayan,,98103
August 14 2013,81662,Molly,Dog,Retriever; Labrador,Australian Shepherd,98117
September 11 2013,81315,Mister G,Dog,Terrier; West Highland White,, 
August 06 2013,76979,Eli,Dog,Australian Shepherd,,98105
December 05 2013,82241,Roxy,Dog,Terrier; Yorkshire,,98125
August 15 2013,137917,Marguerita,Dog,Spaniel; American Cocker,Mix,98112
October 29 2013,207455,Kiwi,Dog,Terrier; Yorkshire,,98103
September 16 2013,207490,Sheila,Dog,Terrier; Rat,,98177
September 18 2013,134365,Coco,Dog,Spaniel; Cavalier King Charles,,98122
August 15 2013,130086,Mika,Dog,Dachshund; Miniature Smooth Haired,, 
July 12 2013,282292,Rayne,Dog,Retriever; Labrador,,98107
August 12 2013,276079,Rex,Dog,Poodle; Standard,,98126
September 03 2013,275729,Buddy,Dog,Retriever; Labrador,,98115
August 20 2013,354884,Lucky,Dog,Australian Shepherd,Border Collie,98144
November 25 2013,433229,Bella,Cat,Domestic Medium Hair,,98146
August 29 2013,898824,Achilles,Cat,Domestic Shorthair,,98126
December 30 2013,962016,Rex,Dog,Havanese,,98136
September 26 2013,77508,Bosco,Cat,Domestic Longhair,,98105
September 25 2013,723186,Bandit,Dog,Havanese,,98126
October 14 2013,723401,Mingmei,Dog,Shih Tzu,,98112
November 26 2013,720391,Joey,Cat,Domestic Medium Hair,,98115
November 13 2013,124320,Dashiell,Dog,Great Dane,,98103
December 15 2013,578242,Casper,Cat,Siamese,Mix,98133
August 29 2013,585696,Barkley,Dog,Retriever; Labrador,Rottweiler,98115
August 19 2013,896411,,Cat,Domestic Shorthair,,98118
September 09 2013,900513,Jaxx,Dog,Retriever; Labrador,,98125
August 19 2013,896410,,Cat,Domestic Shorthair,,98118
September 25 2013,24237,Happy,Dog,Border Collie,,98125
September 09 2013,956908,Kindra,Cat,Domestic Shorthair,,98122
August 14 2013,955347,Julliett,Dog,Terrier; American Staffordshire,,98118
August 14 2013,24287,Roxy,Dog,Australian Cattle Dog,Belgian Sheepdog,98117
August 07 2013,79567,Bronx,Dog,Rottweiler,,98199
November 08 2013,79405,Dozer,Dog,Poodle; Miniature,,98117
October 22 2013,138067,Zolo,Dog,Catahoula Leopard dog,Australian Cattle Dog,98118
October 07 2013,211185,Coco,Dog,Havanese,,98102
August 25 2013,574136,Cali,Cat,Domestic Shorthair,,98119
